"model_name","status","error_message","exitcode","elapsed_seconds","b_0_est","b_w_est","b_b_est","b_w_lower","b_w_upper","b_b_lower","b_b_upper","var_u0_est","var_e_est","final_psr_max_all","final_psr_max_core","final_psr_parameter_all","final_psr_parameter_core","final_psr_focal_bw","final_psr_focal_bb","min_ess_all","min_ess_core","min_ess_parameter_all","min_ess_parameter_core","ess_focal_bw","ess_focal_bb","sim_id","model_type"
"m2_sim_1","completed",NA,0,52.13305497,0.0558,0.3809,0.6223,0.3528,0.4094,0.4543,0.8309,1.0245,1.0201,1.0361,1.0361,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0002,1.0361,91.0769,91.0769,"y ~ Intercept","y ~ Intercept",9753.8766,91.3647,1,"2_blimp_complete"
"m4_sim_1","completed",NA,0,33.02532196,-0.4658,0.5213,0.4663,0.4864,0.5568,0.3018,0.6221,0.879,0.8137,1.0151,1.0151,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0002,1.0151,189.6739,189.6739,"y_mar ~ Intercept","y_mar ~ Intercept",9364.3024,245.2411,1,"4_blimp_lmc_noaux"
"m5_sim_1","completed",NA,0,105.266798,0.0507,0.4293,0.707,0.387,0.4732,0.5468,0.8744,1.0224,1.0757,1.0181,1.018,"aux.regressed on (standardized).x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,59.8772,59.8772,"aux ~ Intercept","aux ~ Intercept",705.5477,117.7641,1,"5_blimp_omc_aux"
"m6_sim_1","completed",NA,0,134.620579,0.1164,0.3922,0.6967,0.3512,0.4333,0.4822,0.8881,1.0748,1.044,1.0296,1.0296,"aux.intercept","aux.intercept",1.0022,1.0198,38.483,63.6005,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",414.9472,63.6005,1,"6_blimp_rescue"
"m2_sim_2","completed",NA,0,52.66308403,0.0351,0.397,0.5103,0.3681,0.4252,0.2689,0.7252,1.1618,1.0419,1.0171,1.017,"y.regressed on (standardized).x.mean[id2]","y.regressed on.x.mean[id2]",0.9999,1.017,65.7276,65.7276,"y ~ x.mean[id2]","y ~ x.mean[id2]",9233.8754,65.7276,2,"2_blimp_complete"
"m4_sim_2","completed",NA,0,33.11335611,-0.4881,0.5198,0.3364,0.4838,0.555,0.1235,0.534,0.9528,0.8066,1.0352,1.0352,"y_mar.intercept","y_mar.intercept",1.0002,1.0068,120.6349,120.6349,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",8979.0938,120.6349,2,"4_blimp_lmc_noaux"
"m5_sim_2","completed",NA,0,91.87645602,0.0176,0.4121,0.5499,0.368,0.4553,0.3554,0.7395,1.138,1.0742,1.0842,1.0842,"aux.regressed on.x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,37.2963,37.2963,"aux ~ x_mean_biased","aux ~ x_mean_biased",633.756,98.1675,2,"5_blimp_omc_aux"
"m6_sim_2","completed",NA,0,133.332968,0.0119,0.3835,0.5143,0.3422,0.4243,0.2704,0.7327,1.1429,1.0528,1.0293,1.0293,"aux.regressed on.x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0022,1.0249,52.7397,58.6115,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",633.1696,58.6115,2,"6_blimp_rescue"
"m2_sim_3","completed",NA,0,53.73807693,0.1209,0.3907,0.5287,0.3626,0.4182,0.3224,0.7358,1.0834,1.0341,1.0212,1.0212,"y.intercept","y.intercept",1.0003,1.0107,115.5361,115.5361,"y ~ x.mean[id2]","y ~ x.mean[id2]",9494.5025,115.5361,3,"2_blimp_complete"
"m4_sim_3","completed",NA,0,30.5603199,-0.4781,0.5309,0.3941,0.4933,0.5668,0.2059,0.5619,0.8007,0.7971,1.0235,1.0235,"y_mar.intercept","y_mar.intercept",1,1.0209,131.2628,131.2628,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9001.256,131.2628,3,"4_blimp_lmc_noaux"
"m5_sim_3","completed",NA,0,106.5854061,0.0846,0.4085,0.6435,0.3626,0.4564,0.4626,0.8331,0.9649,1.1183,1.0295,1.0295,"y_mar.intercept","y_mar.intercept",NA,NA,57.4731,57.4731,"aux ~ Intercept","aux ~ Intercept",363.0849,112.7789,3,"5_blimp_omc_aux"
"m6_sim_3","completed",NA,0,130.1482792,0.1711,0.3786,0.6062,0.3349,0.425,0.4214,0.8117,1.0021,1.0881,1.0452,1.0368,"y_mar.regressed on (standardized).x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0067,1.0368,29.8587,42.9262,"aux ~ y_mar (standardized)","x_mar level-2 residual variance",287.0919,117.2516,3,"6_blimp_rescue"
"m2_sim_4","completed",NA,0,52.39748287,0.1531,0.406,0.498,0.3783,0.4337,0.3172,0.6887,1.1015,1.0444,1.0186,1.0186,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0001,1.0186,95.6025,95.6025,"y ~ x.mean[id2]","y ~ x.mean[id2]",8918.8779,95.6025,4,"2_blimp_complete"
"m4_sim_4","completed",NA,0,29.3530972,-0.4444,0.5499,0.341,0.5142,0.5855,0.1668,0.5137,0.8845,0.8001,1.0152,1.0152,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",0.9999,1.0152,126.0938,126.0938,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",8945.8665,126.0938,4,"4_blimp_lmc_noaux"
"m5_sim_4","completed",NA,0,104.308773,0.1357,0.4553,0.5928,0.4124,0.5003,0.41,0.7774,1.1007,1.0741,1.0322,1.0322,"aux.intercept","aux.intercept",NA,NA,57.9645,58.0795,"y_mar ~ x_mean_biased (standardized)","y_mar ~ x_mean_biased",435.2071,58.0795,4,"5_blimp_omc_aux"
