"sim_id","model_type","b_0_est","b_w_est","b_b_est","cov_b_w","cov_b_b","var_u0_est","var_e_est"
1,"1_lmer_complete",0.057002278,0.380884672,0.630876113,1,1,0.996834398,1.019311835
1,"2_blimp_complete",0.0558,0.3809,0.6223,1,1,1.0245,1.0201
1,"3_lmer_naive",-0.467369378,0.521952746,0.463875616,0,1,0.851290548,0.812339588
1,"4_blimp_lmc_noaux",-0.4658,0.5213,0.4663,0,1,0.879,0.8137
1,"5_blimp_omc_aux",0.0507,0.4293,0.707,1,1,1.0224,1.0757
1,"6_blimp_rescue",0.1164,0.3922,0.6967,1,1,1.0748,1.044
2,"1_lmer_complete",0.022493827,0.396589489,0.50767007,1,1,1.128666075,1.040931605
2,"2_blimp_complete",0.0351,0.397,0.5103,1,1,1.1618,1.0419
2,"3_lmer_naive",-0.478761591,0.519947278,0.344030461,0,0,0.924821001,0.805995914
2,"4_blimp_lmc_noaux",-0.4881,0.5198,0.3364,0,0,0.9528,0.8066
2,"5_blimp_omc_aux",0.0176,0.4121,0.5499,1,1,1.138,1.0742
2,"6_blimp_rescue",0.0119,0.3835,0.5143,1,1,1.1429,1.0528
3,"1_lmer_complete",0.141508307,0.390804268,0.518740695,1,1,1.056198893,1.033706965
3,"2_blimp_complete",0.1209,0.3907,0.5287,1,1,1.0834,1.0341
3,"3_lmer_naive",-0.492648312,0.530136904,0.413667814,0,0,0.780046991,0.795462577
3,"4_blimp_lmc_noaux",-0.4781,0.5309,0.3941,0,0,0.8007,0.7971
3,"5_blimp_omc_aux",0.0846,0.4085,0.6435,1,1,0.9649,1.1183
3,"6_blimp_rescue",0.1711,0.3786,0.6062,1,1,1.0021,1.0881
4,"1_lmer_complete",0.136961607,0.405970928,0.501306224,1,1,1.073636384,1.04346281
4,"2_blimp_complete",0.1531,0.406,0.498,1,1,1.1015,1.0444
4,"3_lmer_naive",-0.422770172,0.549591539,0.352874035,0,0,0.862819221,0.798972995
4,"4_blimp_lmc_noaux",-0.4444,0.5499,0.341,0,0,0.8845,0.8001
4,"5_blimp_omc_aux",0.1357,0.4553,0.5928,0,1,1.1007,1.0741
4,"6_blimp_rescue",0.1376,0.42,0.5173,1,1,1.1199,1.0482
5,"1_lmer_complete",0.02817527,0.39520378,0.701720317,1,1,0.911658176,0.961214603
5,"2_blimp_complete",0.0393,0.3952,0.7092,1,1,0.9384,0.9615
5,"3_lmer_naive",-0.50838964,0.539790554,0.563974926,0,1,0.747229982,0.781253147
5,"4_blimp_lmc_noaux",-0.5127,0.54,0.5728,0,1,0.7684,0.7818
5,"5_blimp_omc_aux",-0.0359,0.4593,0.7717,0,0,0.928,1.0287
5,"6_blimp_rescue",0.0356,0.4194,0.7231,1,1,0.9491,0.9977
6,"1_lmer_complete",-0.157270956,0.393312652,0.625638931,1,1,1.085954852,0.997760969
6,"2_blimp_complete",-0.1645,0.3933,0.6106,1,1,1.1129,0.9984
6,"3_lmer_naive",-0.654850803,0.499996227,0.484467004,0,1,0.927714652,0.795663547
6,"4_blimp_lmc_noaux",-0.6447,0.5001,0.476,0,1,0.9568,0.7965
6,"5_blimp_omc_aux",-0.1905,0.4052,0.6777,1,1,1.0964,1.057
6,"6_blimp_rescue",-0.1364,0.3655,0.6286,1,1,1.1183,1.0207
7,"1_lmer_complete",-0.013802497,0.401681061,0.484831809,1,1,1.133708701,0.972308866
7,"2_blimp_complete",0.0021,0.4013,0.4916,1,1,1.1666,0.973
7,"3_lmer_naive",-0.507941991,0.507845959,0.340298611,0,0,0.909370688,0.747357958
7,"4_blimp_lmc_noaux",-0.487,0.5082,0.3284,0,0,0.9345,0.7481
7,"5_blimp_omc_aux",-0.0282,0.4054,0.5668,1,1,1.2052,0.9962
7,"6_blimp_rescue",0.017,0.3645,0.4858,1,1,1.2164,0.9601
8,"1_lmer_complete",0.083034476,0.380725022,0.555976226,1,1,0.940505747,0.996362981
8,"2_blimp_complete",0.0826,0.3806,0.5607,1,1,0.967,0.9964
8,"3_lmer_naive",-0.443406881,0.53164062,0.384816147,0,0,0.763390419,0.785570045
8,"4_blimp_lmc_noaux",-0.4521,0.5317,0.3742,0,0,0.7846,0.7861
8,"5_blimp_omc_aux",0.0722,0.4166,0.6138,1,1,0.978,1.0667
8,"6_blimp_rescue",0.1031,0.3852,0.5503,1,1,1.0202,1.0401
9,"1_lmer_complete",-0.063512911,0.432350488,0.611113473,0,1,1.171032012,0.982006728
9,"2_blimp_complete",-0.0611,0.4321,0.6286,0,1,1.2024,0.9828
9,"3_lmer_naive",-0.593852094,0.577816151,0.468114794,0,1,0.914605784,0.76326127
9,"4_blimp_lmc_noaux",-0.5922,0.578,0.4666,0,1,0.941,0.7635
9,"5_blimp_omc_aux",-0.0953,0.4979,0.6762,0,1,1.1677,1.0295
9,"6_blimp_rescue",-0.0839,0.454,0.6285,0,1,1.1773,0.9966
10,"1_lmer_complete",-0.03104656,0.401924704,0.466318231,1,1,1.167371165,0.986423011
10,"2_blimp_complete",-0.0108,0.4021,0.4752,1,1,1.2001,0.9866
10,"3_lmer_naive",-0.513900285,0.520497989,0.391340681,0,0,0.945365127,0.765597957
10,"4_blimp_lmc_noaux",-0.4999,0.5206,0.359,0,0,0.9697,0.7663
10,"5_blimp_omc_aux",-0.0437,0.3967,0.5491,1,1,1.1774,1.0258
10,"6_blimp_rescue",0.0054,0.3749,0.5011,1,1,1.2015,1.0083
11,"1_lmer_complete",-0.083205288,0.408116847,0.462878203,1,1,0.876714265,0.988308299
11,"2_blimp_complete",-0.0815,0.4078,0.463,1,1,0.9033,0.9886
11,"3_lmer_naive",-0.560180698,0.527120166,0.35158728,0,0,0.74471744,0.753730313
11,"4_blimp_lmc_noaux",-0.5596,0.5273,0.3416,0,0,0.7677,0.7545
11,"5_blimp_omc_aux",-0.078,0.4271,0.5849,1,1,0.9346,0.996
11,"6_blimp_rescue",-0.0807,0.3987,0.4921,1,1,0.9346,0.9728
12,"1_lmer_complete",-0.016431517,0.39694918,0.61969824,1,1,1.008187312,1.015433406
12,"2_blimp_complete",-0.0162,0.3969,0.6341,1,1,1.034,1.0157
12,"3_lmer_naive",-0.538108113,0.569572356,0.440644069,0,1,0.798070042,0.762717505
12,"4_blimp_lmc_noaux",-0.5463,0.5691,0.4492,0,1,0.8242,0.7636
12,"5_blimp_omc_aux",-0.0802,0.4651,0.6904,0,1,0.9905,1.0351
12,"6_blimp_rescue",-0.0167,0.4305,0.6595,1,1,1.0243,1.0093
13,"1_lmer_complete",-0.059866478,0.394234582,0.66379265,1,1,1.0085186,0.992302861
13,"2_blimp_complete",-0.0606,0.3947,0.6781,1,1,1.0356,0.9928
13,"3_lmer_naive",-0.635741185,0.530216005,0.517048724,0,1,0.763108332,0.769874602
13,"4_blimp_lmc_noaux",-0.6223,0.5304,0.5009,0,1,0.7854,0.7705
13,"5_blimp_omc_aux",-0.1224,0.4365,0.739,1,1,1.0094,1.0174
13,"6_blimp_rescue",-0.0423,0.4023,0.6757,1,1,1.0618,0.9919
14,"1_lmer_complete",0.031710498,0.403115084,0.673204287,1,1,0.99010129,1.014559437
14,"2_blimp_complete",0.013,0.4033,0.676,1,1,1.02,1.0152
14,"3_lmer_naive",-0.541475294,0.539335363,0.479185924,0,1,0.819856436,0.802878306
14,"4_blimp_lmc_noaux",-0.5445,0.5392,0.4999,0,1,0.8455,0.8037
14,"5_blimp_omc_aux",0.0327,0.443,0.7471,0,1,1.0359,1.0683
14,"6_blimp_rescue",0.086,0.4044,0.7173,1,1,1.0651,1.0371
15,"1_lmer_complete",-0.009021331,0.400431743,0.581581343,1,1,1.015423866,0.981358791
15,"2_blimp_complete",-0.0237,0.4007,0.5893,1,1,1.045,0.9821
15,"3_lmer_naive",-0.54492329,0.531006432,0.440004745,0,1,0.797492003,0.780410922
15,"4_blimp_lmc_noaux",-0.5446,0.5308,0.44,0,1,0.8226,0.7809
15,"5_blimp_omc_aux",-0.0258,0.426,0.6382,1,1,1.0641,1.0439
15,"6_blimp_rescue",0.0168,0.3898,0.5698,1,1,1.0751,1.0126
16,"1_lmer_complete",0.308051893,0.400451887,0.675800363,1,1,1.219767086,0.974621784
16,"2_blimp_complete",0.321,0.4002,0.694,1,1,1.2482,0.9752
16,"3_lmer_naive",-0.280555583,0.555322096,0.453327452,0,1,0.988359181,0.744607104
16,"4_blimp_lmc_noaux",-0.2766,0.5548,0.4588,0,1,1.014,0.7455
16,"5_blimp_omc_aux",0.2767,0.4582,0.689,0,1,1.2234,1.0312
16,"6_blimp_rescue",0.3256,0.4139,0.7012,1,1,1.2986,0.9961
17,"1_lmer_complete",-0.130833239,0.40564725,0.688825571,1,1,0.994498161,0.97657335
17,"2_blimp_complete",-0.1409,0.4054,0.6918,1,1,1.0213,0.9765
17,"3_lmer_naive",-0.656069111,0.538482384,0.505799283,0,1,0.865709336,0.738167862
17,"4_blimp_lmc_noaux",-0.6588,0.5383,0.5135,0,1,0.8922,0.7385
17,"5_blimp_omc_aux",-0.2005,0.4422,0.7586,0,1,1.0303,0.9904
17,"6_blimp_rescue",-0.1481,0.4065,0.7124,1,1,1.0676,0.9587
18,"1_lmer_complete",0.016642329,0.402734999,0.464919817,1,1,0.989650406,0.998578223
18,"2_blimp_complete",0.0239,0.4025,0.4559,1,1,1.0134,0.9989
18,"3_lmer_naive",-0.486766301,0.527676962,0.29964259,0,0,0.692627555,0.777117769
18,"4_blimp_lmc_noaux",-0.4877,0.5281,0.2807,0,0,0.7075,0.778
18,"5_blimp_omc_aux",-0.0136,0.4395,0.5298,1,1,0.9373,1.0098
18,"6_blimp_rescue",-0.0356,0.4009,0.4205,1,1,0.9288,0.9751
19,"1_lmer_complete",-0.16392963,0.402086133,0.617473149,1,1,1.032735411,0.980077513
19,"2_blimp_complete",-0.1462,0.402,0.6233,1,1,1.0638,0.9805
19,"3_lmer_naive",-0.694734741,0.525158561,0.449157514,0,1,0.833876553,0.779175546
19,"4_blimp_lmc_noaux",-0.6873,0.5256,0.4329,0,1,0.8528,0.7798
19,"5_blimp_omc_aux",-0.187,0.4344,0.6825,1,1,1.0771,1.0282
19,"6_blimp_rescue",-0.1468,0.3941,0.5692,1,1,1.0954,0.991
20,"1_lmer_complete",0.026308843,0.423764374,0.524103415,1,1,1.12532594,1.00752681
