sim_id,model_type,b_0_est,b_w_est,b_b_est,cov_b_w,cov_b_b,var_u0_est,var_e_est
1,1_lmer_complete,0.057002278,0.380884672,0.630876113,1,1,0.996834398,1.019311835
1,2_blimp_complete,0.0425,0.381,0.6302,1,1,1.0252,1.0195
1,3_lmer_naive,-0.470756257,0.51355987,0.46048065,0,1,0.834565122,0.817885116
1,4_blimp_lmc_noaux,-0.4774,0.5134,0.4639,0,1,0.861,0.8185
1,5_blimp_omc_aux,0.0197,0.4173,0.6997,1,1,1.0124,1.0806
1,6_blimp_rescue,0.113,0.3834,0.6646,1,1,1.0705,1.0521
2,1_lmer_complete,0.022493827,0.396589489,0.50767007,1,1,1.128666075,1.040931605
2,2_blimp_complete,0.0072,0.3967,0.4955,1,1,1.1636,1.0411
2,3_lmer_naive,-0.478061115,0.534778078,0.34728193,0,0,0.953571979,0.793192203
2,4_blimp_lmc_noaux,-0.493,0.5349,0.3232,0,0,0.9803,0.7936
2,5_blimp_omc_aux,0.0187,0.4303,0.5464,1,1,1.1539,1.0723
2,6_blimp_rescue,0.0234,0.3981,0.4835,1,1,1.1605,1.051
3,1_lmer_complete,0.141508307,0.390804268,0.518740695,1,1,1.056198893,1.033706965
3,2_blimp_complete,0.1264,0.3909,0.5084,1,1,1.0896,1.0339
3,3_lmer_naive,-0.491543055,0.522432116,0.383991024,0,0,0.778760316,0.811999388
3,4_blimp_lmc_noaux,-0.4969,0.5227,0.3692,0,0,0.7998,0.8128
3,5_blimp_omc_aux,0.1007,0.4035,0.6178,1,1,0.9346,1.1337
3,6_blimp_rescue,0.1413,0.3703,0.5656,1,1,0.9638,1.0966
4,1_lmer_complete,0.136961607,0.405970928,0.501306224,1,1,1.073636384,1.04346281
4,2_blimp_complete,0.1218,0.4061,0.4871,1,1,1.108,1.0438
4,3_lmer_naive,-0.421029508,0.539768918,0.346024622,0,0,0.875587566,0.818424267
4,4_blimp_lmc_noaux,-0.4361,0.5397,0.3284,0,0,0.9024,0.819
4,5_blimp_omc_aux,0.1518,0.4425,0.5869,0,1,1.0938,1.1047
4,6_blimp_rescue,0.1857,0.4091,0.5439,1,1,1.1193,1.0742
5,1_lmer_complete,0.02817527,0.39520378,0.701720317,1,1,0.911658176,0.961214603
5,2_blimp_complete,0.0128,0.3952,0.7126,1,1,0.9371,0.9614
5,3_lmer_naive,-0.52783723,0.531997545,0.55570537,0,1,0.723514055,0.76109867
5,4_blimp_lmc_noaux,-0.5296,0.5323,0.5547,0,1,0.7454,0.7618
5,5_blimp_omc_aux,-0.0286,0.446,0.7353,0,1,0.9124,1.0037
5,6_blimp_rescue,0.0235,0.4077,0.7115,1,1,0.9342,0.9744
6,1_lmer_complete,-0.157270956,0.393312652,0.625638931,1,1,1.085954852,0.997760969
6,2_blimp_complete,-0.1723,0.3935,0.6119,1,1,1.1182,0.998
6,3_lmer_naive,-0.661118997,0.500561455,0.477719232,0,1,0.920195268,0.793739411
6,4_blimp_lmc_noaux,-0.6633,0.501,0.4604,0,1,0.9486,0.7942
